dbn,school_name,sat_reading_avg,sat_math_avg,sat_writing_avg,num_test_takers,sat_total_avg,processed_at,data_version
30Q555,NEWCOMERS HIGH SCHOOL,323.0,475.0,329.0,143,1127.0,2025-08-07 22:52:50.602068,production_v1
30Q575,ACADEMY OF AMERICAN STUDIES,487.0,492.0,491.0,135,1470.0,2025-08-07 22:52:50.602068,production_v1
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,524.0,568.0,544.0,61,1636.0,2025-08-07 22:52:50.602068,production_v1
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,452.0,451.0,450.0,137,1353.0,2025-08-07 22:52:50.602068,production_v1
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,398.0,412.0,385.0,61,1195.0,2025-08-07 22:52:50.602068,production_v1
31R080,THE MICHAEL J. PETRIDES SCHOOL,472.0,488.0,466.0,107,1426.0,2025-08-07 22:52:50.602068,production_v1
31R440,NEW DORP HIGH SCHOOL,424.0,437.0,416.0,391,1277.0,2025-08-07 22:52:50.602068,production_v1
31R445,PORT RICHMOND HIGH SCHOOL,424.0,438.0,417.0,271,1279.0,2025-08-07 22:52:50.602068,production_v1
31R450,CURTIS HIGH SCHOOL,437.0,435.0,429.0,375,1301.0,2025-08-07 22:52:50.602068,production_v1
31R455,TOTTENVILLE HIGH SCHOOL,462.0,486.0,470.0,807,1418.0,2025-08-07 22:52:50.602068,production_v1
31R460,SUSAN E. WAGNER HIGH SCHOOL,455.0,474.0,459.0,535,1388.0,2025-08-07 22:52:50.602068,production_v1
31R470,CONCORD HIGH SCHOOL,466.0,455.0,414.0,10,1335.0,2025-08-07 22:52:50.602068,production_v1
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,416.0,422.0,397.0,94,1235.0,2025-08-07 22:52:50.602068,production_v1
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,635.0,682.0,636.0,227,1953.0,2025-08-07 22:52:50.602068,production_v1
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,405.0,375.0,370.0,10,1150.0,2025-08-07 22:52:50.602068,production_v1
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,380.0,366.0,352.0,50,1098.0,2025-08-07 22:52:50.602068,production_v1
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,384.0,409.0,361.0,88,1154.0,2025-08-07 22:52:50.602068,production_v1
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,348.0,353.0,334.0,75,1035.0,2025-08-07 22:52:50.602068,production_v1
